,LONGITUDE,LATITUDE
342,-71.25667,43.23333
343,-71.25833,43.23333
344,-71.26,43.23333
345,-71.26167,43.23333
346,-71.26333000000001,43.23333
347,-71.26666999999999,43.23333
348,-71.26833,43.23333
349,-71.27,43.23333
350,-71.27167,43.23333
351,-71.27333,43.23333
352,-71.275,43.23333
353,-71.27667,43.23167
354,-71.27833000000001,43.23167
355,-71.28,43.23167
356,-71.28166999999999,43.23167
357,-71.28333,43.23167
358,-71.285,43.23167
359,-71.28667,43.23167
360,-71.28833,43.23167
361,-71.29,43.23167
362,-71.29167,43.23167
363,-71.29333000000001,43.23167
364,-71.295,43.23167
365,-71.29666999999999,43.23167
366,-71.29833,43.23167
367,-71.3,43.23167
368,-71.30167,43.23167
369,-71.305,43.23167
370,-71.30667,43.23167
371,-71.30833,43.23167
372,-71.31,43.23167
373,-71.31166999999999,43.23167
374,-71.31333000000001,43.23167
375,-71.315,43.23167
376,-71.31667,43.23167
377,-71.31833,43.23167
378,-71.32,43.23167
379,-71.32167,43.23167
380,-71.32333,43.23167
381,-71.325,43.23167
382,-71.32833000000001,43.23167
383,-71.33,43.23167
384,-71.33166999999999,43.23167
385,-71.33333,43.23167
386,-71.335,43.23167
387,-71.33667,43.23167
388,-71.33833,43.23167
389,-71.34,43.23167
390,-71.34167,43.23167
391,-71.34333000000001,43.23167
392,-71.34666999999999,43.23167
393,-71.34833,43.23167
394,-71.35,43.23167
395,-71.35167,43.23167
396,-71.35333,43.23167
397,-71.355,43.23167
398,-71.35667,43.23167
399,-71.35833000000001,43.23167
400,-71.36,43.23167
401,-71.36166999999999,43.23167
402,-71.365,43.23167
403,-71.36667,43.23167
404,-71.36833,43.23167
405,-71.37,43.23167
406,-71.37167,43.23167
407,-71.37333000000001,43.23167
408,-71.375,43.23167
409,-71.37666999999999,43.23167
410,-71.37833,43.23167
411,-71.38167,43.23167
412,-71.38333,43.23167
413,-71.385,43.23167
414,-71.38667,43.23167
415,-71.38833000000001,43.23167
416,-71.39,43.23333
417,-71.39166999999999,43.23333
418,-71.39333,43.23333
